rhos_412,rhos_469,rhos_555,rhos_645,rhos_859,rhos_1240,rhos_2130,rhot_412,rhot_469,rhot_555,rhot_645,rhot_859,rhot_1240,rhot_2130,label
0.044633709,0.039366417,0.058795344,0.04068407,0.264117509,0.238566324,0.046644278,0.137885168,0.097721525,0.080543779,0.053236794,0.265367925,0.238984093,0.046764672,sargasso
0.043121785,0.038501583,0.057221562,0.040904511,0.283514112,0.267276734,0.049734849,0.136766076,0.097009599,0.079193711,0.053433374,0.284540027,0.267626375,0.04985382,sargasso
0.049721044,0.047019567,0.065949947,0.056542404,0.254959106,0.268954605,0.071784958,0.141610876,0.10397169,0.086655028,0.067577086,0.256315947,0.269300342,0.071894117,sargasso
0.047296401,0.044548556,0.068682104,0.060163509,0.199062362,0.152566925,0.041050795,0.139879555,0.101983562,0.089002378,0.070860535,0.201140597,0.153222591,0.041173831,sargasso
0.157507405,0.152550742,0.138043046,0.135151029,0.13514325,0.146847263,0.137932494,0.22596629,0.194017112,0.150770038,0.140245885,0.138415232,0.143529564,0.116586216,sargasso
0.09454646,0.123282686,0.102082931,0.020997819,0.017076779,0.017053096,0.005183833,0.261123419,0.222632274,0.14408718,0.052246191,0.027951648,0.01877944,0.004371976,sargasso
0.095221646,0.122521058,0.108782008,0.020261435,0.013905252,0.014519539,0.004008777,0.261496663,0.222020417,0.149486691,0.051589783,0.024854016,0.016349865,0.003434804,sargasso
0.095221646,0.122521058,0.108782008,0.020261435,0.013905252,0.014519539,0.004008777,0.261496663,0.222020417,0.149486691,0.051589783,0.024854016,0.016349865,0.003434804,sargasso
0.095221646,0.122521058,0.108782008,0.020261435,0.013905252,0.014519539,0.004008777,0.261496663,0.222020417,0.149486691,0.051589783,0.024854016,0.016349865,0.003434804,sargasso
0.083132088,0.100675561,0.07948079,0.015885063,0.011671845,0.010282163,0.003487911,0.254071146,0.205786765,0.125890523,0.047822986,0.022701109,0.012293146,0.003019027,sargasso
0.049787991,0.044605277,0.023384126,0.012199269,0.009492633,0.007941359,0.00283575,0.233248055,0.163923681,0.080697857,0.044687808,0.020609953,0.010056458,0.002498972,sargasso
0.053525284,0.051718604,0.033732288,0.017965587,0.0155752,0.011111966,0.00562127,0.235315055,0.169039652,0.088943362,0.049667601,0.026515899,0.013089923,0.004719399,sargasso
0.047551695,0.042729661,0.021873178,0.011079729,0.008845306,0.00766858,0.002747996,0.231484368,0.162261188,0.079346992,0.04362857,0.019949462,0.009788986,0.002429102,sargasso
